"prioritet";"regel_id";"problem";"allvarlighet";"antal_element";"antal_sidor";"wcag";"atgard"
"1";"image-alt";"Bild saknar alt-text";"Kritisk";"2";"1";"1.1.1 Innehåll som inte är text";"Beskriv vad bilden förmedlar, till exempel alt=""Blå damkappa i ull, knälång"". Är bilden rent dekorativ ska den ha tomt alt="""". Utelämna aldrig attributet helt."
"2";"button-name";"Knapp utan text";"Kritisk";"1";"1";"4.1.2 Namn, roll, värde";"Lägg till dold text, till exempel <span class=""visually-hidden"">Sök</span>, eller aria-label=""Sök"". Själva ikonen ska ha aria-hidden=""true""."
"3";"select-name";"Rullgardinsmeny saknar etikett";"Kritisk";"1";"1";"4.1.2 Namn, roll, värde";"Koppla en <label for>, eller sätt aria-label."
"4";"color-contrast";"För låg kontrast mellan text och bakgrund";"Allvarlig";"2";"1";"1.4.3 Kontrast (minimum)";"Mörka ner textfärgen eller ljusa upp bakgrunden tills förhållandet når 4,5:1, eller 3:1 för text som är minst 24px eller 18,66px halvfet. Ljusgrå text på vitt underkänns nästan alltid."
"5";"link-name";"Länk utan text";"Allvarlig";"2";"1";"2.4.4 Syftet med en länk; 4.1.2 Namn, roll, värde";"Lägg till dold text eller aria-label=""Till startsidan"". Undvik ""läs mer"" som enda länktext."
"6";"autocomplete-valid";"Felaktigt autocomplete-värde";"Allvarlig";"1";"1";"1.3.5 Identifiera indatasyfte";"Använd giltiga värden, till exempel autocomplete=""given-name"", ""email"", ""postal-code"" eller ""tel""."
"7";"document-title";"Sidan saknar titel";"Allvarlig";"1";"1";"2.4.2 Sidan har en titel";"Ge varje sida en unik, beskrivande <title> med det viktigaste först, till exempel ""Kassa – Företaget AB""."
"8";"frame-title";"<iframe> saknar titel";"Allvarlig";"1";"1";"2.4.1 Hoppa över återkommande block; 4.1.2 Namn, roll, värde";"Lägg till title som beskriver innehållet, till exempel title=""Karta till butiken"". Helt dekorativa ramar kan i stället döljas med aria-hidden."
"9";"html-has-lang";"Språk saknas på sidan";"Allvarlig";"1";"1";"3.1.1 Sidans språk";"Sätt <html lang=""sv"">. En enda rad med mycket stor effekt."
"10";"meta-viewport";"Zoom är blockerad";"Måttlig";"1";"1";"1.4.4 Ändring av textstorlek";"Använd <meta name=""viewport"" content=""width=device-width, initial-scale=1""> och ta bort user-scalable och maximum-scale."
